neighborhood,district
Bayview,District 10 - Southeast
Bernal Heights,District 9 - Central East
Castro/Upper Market,Castro District
Chinatown,Central San Francisco
Crocker Amazon,District 10 - Southeast
Diamond Heights,District 4 - Twin Peaks West
Downtown/Civic Center,Central San Francisco
Excelsior,District 10 - Southeast
Financial District,Central San Francisco
Glen Park,District 5 - Central
Golden Gate Park,Golden Gate Park
Haight Ashbury,District 5 - Central
Inner Richmond,District 1 - Northwest
Inner Sunset,District 2 - Central West
Lakeshore,Twin Peaks/Lake Merced
Marina,District 7 - North
Mission,District 9 - Central East
Nob Hill,District 8 - Northeast
Noe Valley,District 5 - Central
North Beach,District 8 - Northeast
Ocean View,District 3 - Southwest
Outer Mission,District 10 - Southeast
Outer Richmond,District 1 - Northwest
Outer Sunset,District 2 - Central West
Pacific Heights,District 7 - North
Parkside,District 2 - Central West
Potrero Hill,District 9 - Central East
Presidio,District 7 - North
Presidio Heights,District 7 - North
Russian Hill,District 8 - Northeast
Seacliff,District 1 - Northwest
South of Market,District 9 - Central East
Treasure Island/YBI,Treasure Island
Twin Peaks,District 5 - Central
Visitacion Valley,District 10 - Southeast
West of Twin Peaks,District 4- Twin Peaks West
Western Addition,District 6 - Central North
